"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Earthquake Magnitude >= 1"",""Deaths >= 1""]"																																						
	1913	3	14	8	45	4.3	1407	585	"INDONESIA:  SANGIHE ISLAND"	5.354	126.121	15	7.8	9	138	3				2		2		3			138	3				2		2		3		
	1913	3	24	10	34				"IRAN:  TEYHAN"	26.8	53.7		5.8		11	1											11	1										
	1913	11	4	21	33				"PERU:  AMYARAES, ABANCAY, CASAYA, SORAYA"	-14.2	-72.9	10	6.3	10	150	3						3		3			150	3						3		3		
	1913	12	21	15	37	38			"CHINA:  YUNNAN PROVINCE"	24.15	102.45	10	7	9	942	3			112	3		3		4			942	3			112	3		3		4		
	1914	1	12				1412	867	"JAPAN:  SAKURIJIMA"	31.58	130.67		7.1		29	1						1	120	3			63	1			112	3	19	3	2268	4		
	1914	3	15	20	0	6			"JAPAN:  SENHOKU"	39.2	139.8	33	7.2		94	2						3	640	3			94	2						3	640	3		
	1914	5	8	18	1				"ITALY:  CATANIA, ETNA"	37.7	15.2		4.9	10	120	3						3	223	3			120	3						3	223	3		
	1914	6	25	19	7	25.9	1418		"INDONESIA:  SUMATERA"	-3.924	101.82	35	7.6		20	1			20	1		1		1			20	1			20	1		1		1		
	1914	8	4	22	41	6			"CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG)"	43.5	91.5		7.5	8	1	1						1		2			1	1						1		2		
	1914	10	3	22	6	34			"TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA"	37.82	30.27		7	9	4000	4			700	3		4	17000	4			4000	4			700	3		4	17000	4		
	1914	11	27	14	39	46	1420		"GREECE:  LEUKAS ISLAND"	38.8	20.6	30	6.3	9	14	1						3		3		2	14	1						3		3		2
	1915	1	13	6	52	38			"ITALY:  MARSICA, AVEZZANO, ABRUZZI"	42	13.5	10	7.5	11	29978	4					60	4					29978	4					60	4				
	1915	6	23	4	56	0			"CALIFORNIA:  EL CENTRO"	32.8	-115.5		6.2		6	1					0.9	1																
	1915	12	3	2	39	19			"CHINA:  TIBET (XIZANG PROVINCE)"	29.5	91.5		7	9	170	3						2		3			170	3						2		3		
	1916	8	16	7	6	22.2	3811		"ITALY:  RIMINI"	44.035	13.009		6	9	4	1			60	2		3					4	1			60	2		3				
	1916	8	28	7	27	5			"TAIWAN"	23.7	120.9		6.5	8	180	3						2	614	3			180	3						2	614	3		
	1916	11	14	22	31	33			"TAIWAN"	24	121		6		1	1			20	1		1	97	2			1	1			20	1		1	97	2		
	1917	1	4	16	50	6			"TAIWAN:  PULI"	23.9	120.9		6.3		54	2			85	2		1	130	3			54	2			85	2		1	130	3		
	1917	1	20	23	11	34	1439		"INDONESIA:  BALI"	-7	116		6.6	9	1500	4						2		2			1500	4						2		2		
	1917	1	31	3	39	55	1442		"PHILIPPINES:  S MINDANAO:  GLAN,GLAN PADIDU,TUYAN"	6	125		6.4	9	7	1			2	1		2		2			7	1			2	1		2		2		
	1917	7	30	23	54	5			"CHINA:  YUNNAN PROVINCE"	28	104	33	6.8	9	1800	4						4		4			1800	4						4		4		
	1917	8	31	11	36	18			"COLOMBIA:  BOGOTA, UBAQUE, SOACHA, CAQUEZA"	4	-74	40	7.3	8	6	1				2		1		1			3	1				2		1		1		
	1917	12	26	4	30				"GUATEMALA:  GUATEMALA CITY"	14.6	-90.6		6		2650	4						4					2650	4						4				
	1918	2	13	6	7	13	1451		"CHINA:  GUANGDONG PROVINCE"	23.5	117.2	23	7.3	10	2000	4				4		4		4			2000	4				4		4		4		
	1918	8	15	12	18	12	1456		"PHILIPPINES:  MINDANAO:  COTABATO"	5.5	123	33	8.3	10	46	1						3					52	2						3				
	1920	1	3	21	48	3			"MEXICO:  VERACRUZ: COZAUTLAN, PUEBLA: PATLANALA"	19.26	-96.97		7.8	10	648	3			167	3		2					648	3			167	3		2				
	1920	6	5	4	21	28			"TAIWAN"	23.5	122.7		8		5	1			20	1		2	273	3			5	1			20	1		2	273	3		
	1920	9	7	5	55	40			"ITALY:  CARRARA,GARFAGNANA"	44.3	10.3	10	5.8	10	1400	4											1400	4										
	1920	11	26	8	51	7			"ALBANIA:  TEPELENE, DRAGOTI, PESHTANI, MARICAJ"	40.2	20	25	6.2	11	200	3						3		3			200	3						3		3		
	1920	12	16	12	5	54.7	3541		"CHINA:  GANSU PROVINCE, SHANXI PROVINCE"	36.601	105.317	25	8.3	12	200000	4					25	4					200000	4					25	4				
	1920	12	17	18	59	49			"ARGENTINA:  MENDOZA"	-32.7	-68.4	10	6	8	400	3						3		3			400	3						3		3		
	1922	2	27	20	39	50	1498		"PHILIPPINES:  CEBU ISLAND, MACTAN ISLAND"	10.2	124.1		6.3	5	5	1						2				2	5	1						2				2
	1922	9	1	19	16	6	1503		"TAIWAN"	24.5	122		7.6		5	1			7	1		2	139	3			5	1			7	1		2	139	3		
	1922	11	11	4	32	36	1505		"CHILE:  ATACAMA"	-28.553	-70.755	35	8.7	11	500	3						3		3			700	3						3		3		
	1923	3	24	12	40	6			"CHINA:  SICHUAN PROVINCE"	31.5	101	13	7.3	10	4800	4						3		4			4800	4						3		4		
	1923	5	25	22	21	37			"IRAN:  TURBAT-HAKLARI"	31.308	56.1	15	6	10	2200	4						3					2200	4						3				
	1923	9	1	2	58	37	1526		"JAPAN:  TOKYO, YOKOHAMA"	35.1	139.5	35	7.9		142807	4	43476	4	47000	4	600	4					142807	4	43476	4	47000	4	600	4	695000	4		
	1923	9	9	22	3	46.7			"BANGLADESH:  MYMENSINGH"	24.969	90.752	15	6.9		50	1						2					50	1						2				
	1923	9	17	7	9	7			"IRAN:  QALEH JAQ KMEN:  BODZHNURD"	37.2	57.7		6.4	9	157	3						3					157	3						3				
	1923	9	22	20	47	43			"IRAN:  SIRJAN"	29.222	56.839	15	6.7	8	290	3						2					290	3						2				
	1923	12	14	10	31				"COLOMBIA:  IPIALES"	0.87	-77.78	10	6.2	9	300	3						2					300	3						2				
	1923	12	22	9	55	35			"COLOMBIA:  GACHALA,GACHETA,UBALA,MEDINA"	4.64	-73.36	15	5.9	8	7	1						3		2		3	7	1						3		2		3
	1924	3	3	8	1	0			"ECUADOR"	-1.6	-78.6		6.9		40	1						1																
	1924	5	13	1	52	33			"TURKEY:  ERZURUM"	39.7	42.8		5.3	9	50	1						2		3			50	1						2		3		
	1924	7	3	4	40	10			"CHINA: XINJIANG"	36.8	83.8	33	7.3		100	2						2		2			100	2						2		2		
	1924	9	13	14	34	5			"TURKEY:  ERZURUM"	40	42		6.8	10	60	2						2	380	3			60	2						2	380	3		
	1925	1	9	17	38	24			"TURKEY:  ARDAHAN"	41.2	42.8		5.8	8	200	3											200	3										
	1925	3	16	14	42	12			"CHINA:  YUNNAN PROVINCE:  TALIFU"	25.7	100.4	26	7		5000	4				4		4		4			5000	4				4		4		4		
	1925	5	5	10	6	6	1554		"W. LUZON ISLAND, PHILIPPINES"	9.3	122.7	33	6.8	9	17	1						2		2			17	1						2		2		
	1925	5	23	2	9	45			"JAPAN:  HONSHU:  TAJIMA"	35.75	134.75		6.8		395	3						4	3333	4			395	3						4	3333	4		
	1925	6	29	14	42	26.2			"CALIFORNIA:  SANTA BARBARA"	34.418	-120.196	10	6.8	9	13	1					8	3		3			13	1					8	3		3		
	1925	8	7	6	46	37			"TURKEY:  DINAR"	38	30.5		5.9	8	3	1						3	2043	4			3	1						3	2043	4		
	1925	10	14	17	5	18			"CHINA:  YUNNAN PROVINCE"	27	100		5.8	7	12	1				3		2	500	3			12	1				3		2	500	3		
	1925	12	14			0			"IRAN:  BAJESTAN"	34.6	58.1		5.5		500	3																						
	1925	12	18	5	53	0			"IRAN:  AHRAM,DOMRUBAH,MAHMUDABADI,AB GARM"	28.5	51.2		5.5		2	1						2																
	1926	8	31	10	40	9.7	1570		"AZORES:  FAYAL ISLAND"	37.973	-28.59	10	5.8	10	9	1			200	3		2		3		1	9	1			200	3		2		3		1
	1926	10	22	19	59	0			"TURKEY; ARMENIA"	40.7	43.7	7	5.7	9	360	3						4																
	1927	3	7	9	27		1576		"JAPAN:  HONSHU:  SW"	35.6	135.1	10	7.3		3022	4			3295	4	40	4	15594	4	9821	4	3022	4			3295	4	40	4	15594	4	9821	4
	1927	3	20						"CHINA:  YUNNAN PROVINCE:  XINPING"	24.1	102		5	6	7	1						1		1			7	1						1		1		
	1927	5	22	22	32	42			"CHINA:  GANSU PROVINCE"	36.75	102	27	7.6	11	40912	4			524	3		4	26674	4			40912	4			524	3		4	26674	4		
	1927	7	11	13	4		4416		"ISRAEL; JORDAN: DAMIYA"	32	35.5	33	6.3		268	3						3					268	3						3				
	1927	8	24	18	9	0			"TAIWAN"	23	120.5		6.8		30	1			190	3		2	200	3			30	1			190	3		2	200	3		
	1927	9	11	22	15	48	2299		"UKRAINE:  CRIMEA:  SEBASTOPOL"	44.4	34.5	17	6.8	9	11	1			122	3		4		4		4	11	1			122	3		4		4		4
	1928	3	8	18	13	0			"IRAN:  NEHBANDAN"	31.6	60		5		4	1						2																
	1928	3	31	0	29	47	1594		"TURKEY:  TEPEKOY, TORBALI"	38.1	27.4		6.5	9	170	3			700	3		4	2600	4		3	170	3			700	3		4	2600	4		3
	1928	4	14	8	59	43			"BULGARIA:  CHIRPAN"	42.2	25.3	7	6.8	10	127	3			1735	4		4	74750	4			127	3			1735	4		4	74750	4		
	1928	4	22	20	13	46	1597		"GREECE:  CORINTH (CORINTHIA)"	38	23	29	6	9	20	1						4	3000	4			20	1						4	3000	4		
	1928	5	14	22	14	48.3			"PERU:  CHACAHPOYAS,HUANCABAMBA,CAJAMARCA,PINPINCOS"	-5.435	-78.665		7.3	10	29	1						3					29	1										
	1928	6	17	3	19	33.1	1605		"MEXICO:  OAXACA"	16.028	-97.036	35	7.7		4	1						2					4	1						2				
	1928	7	19	20	13	50			"CHINA: SICHUAN PROVINCE"	31.5	120.5		5.8	7	6	1			10	1		2		2			6	1			10	1		2		2		
	1928	8	21	19	2	17.9			"IRAN:  SHIRVAN"	36.893	59.044	15	5.6	8	30	1						2					30	1										
	1928	12	1	4	6	12	1609		"CHILE:  TALCA, CHILLAN, SANTIAGO, SAN FERNANDO"	-35	-72	25	7.6	9	279	3						3		3			279	3						3		3		
	1928	12	19	11	37	10	1611		"PHILIPPINES:  COTABATO,N COAST OF ILLANA BAY"	7	124		7.3	7	93	2						2		3			97	2			102	2		2		3		
	1929	1	13	18	44	39			"CHINA:  NEI MONGOL"	40.7	111.6		6	8	2	1						2	100	2			2	1						2	100	2		
	1929	1	17	11	52	0	1612		"VENEZUELA: CUMANA"	10.5	-64.2		6.9	9	50	1			800	3		3					50	1			800	3		3		1		1
	1929	5	1	15	37	35.6			"IRAN:  KOPET-DAGH"	38.09	57.705	10	7.2	9	3800	4			1121	4		4					3800	4			1121	4		4				
	1929	5	18	6	37	0			"TURKEY:  SUSEHRI"	40.2	37.9	10	6.5	8	64	2																						
	1929	6	16	22	47	32	1618		"NEW ZEALAND:  SOUTH ISLAND"	-41.75	172.25		7.5		17	1						2		3			17	1						2		3		
	1929	7	13	7	36	43.6			"IRAN:  FARUJ"	37.866	58.404	15	5.9	7	21	1						2					21	1						2				
	1929	7	15	7	44	0			"IRAN:  MASJED SOLEYMAN,ANDARKAH"	32.2	49.7	65	6.2		6	1						2																
	1930	5	5	13	45	58	3052		"MYANMAR (BURMA):  PEGU, RANGOON"	17.3	96.5		7.3	9	500	3						3		3		3	500	3						3		3		3
	1930	5	6	22	34	26.8			"IRAN:  SALMAS"	38.094	44.797	15	7.1	9	2539	4						4					2539	4						4				
	1930	5	14	19	48	22			"CHINA:  YUNNAN PROVINCE"	26.8	103		6	8	42	1				2		2		3			42	1				2		2		3		
	1930	7	23	0	9				"ITALY:  IRPINIA"	41.1	15.4	7	6.5	10	1430	4						3	3188	4														
